product_id;product_name;brand_name;product_class_id;gross_weight;net_weight;recyclable_package;low_fat;units_per_case;cases_per_pallet;shelf_width;shelf_height;shelf_depth
1;Washington Berry Juice;Washington;30;8.39;6.39;f;f;30;14;16.9;12.6;7.4
2;Washington Mango Drink;Washington;52;7.42;4.42;f;t;18;8;13.4;3.71;22.6
3;Washington Strawberry Drink;Washington;52;13.1;11.1;t;t;17;13;14.4;11;7.77
4;Washington Cream Soda;Washington;19;10.6;9.6;t;f;26;10;22.9;18.9;7.93
5;Washington Diet Soda;Washington;19;6.66;4.65;t;f;7;10;20.7;21.9;19.2
6;Washington Cola;Washington;19;15.8;13.8;f;f;14;10;6.42;18.1;21.3
7;Washington Diet Cola;Washington;19;18;17;t;f;11;7;15;16.9;21
8;Washington Orange Juice;Washington;30;8.97;6.97;t;f;27;7;7.56;11.8;8.92
9;Washington Cranberry Juice;Washington;30;7.14;5.13;f;f;34;7;18.5;16.1;14.4
10;Washington Apple Juice;Washington;30;8.13;7.13;t;f;28;14;21.6;7.32;9.2
11;Washington Apple Drink;Washington;52;20;19;f;t;3;10;19.4;10.3;20.4
12;Jeffers Oatmeal;Jeffers;35;8.9;6.89;t;t;14;6;15.9;15.4;10.8
13;Jeffers Corn Puffs;Jeffers;35;10.4;7.39;f;f;20;10;18.2;10.3;14.6
14;Jeffers Wheat Puffs;Jeffers;35;21.6;20.6;t;t;33;10;7.73;6.94;8.01
15;Jeffers Grits;Jeffers;35;21.3;20.2;f;t;14;9;8.96;18.3;12.4
16;Blue Label Canned Beets;Blue Label;62;21.2;18.2;f;t;31;10;19;21.9;9.39
17;Blue Label Creamed Corn;Blue Label;62;6.91;3.9;t;t;34;9;7.8;17.8;8.26
18;Blue Label Canned String Beans;Blue Label;62;12.6;10.6;t;f;26;10;8.87;5.18;13.3
19;Blue Label Chicken Soup;Blue Label;58;15.2;12.1;t;t;35;7;22.6;21.1;16.9
20;Blue Label Canned Yams;Blue Label;62;21.3;19.2;f;t;22;8;5.95;5.22;11.8
21;Blue Label Vegetable Soup;Blue Label;58;19.7;18.7;f;t;18;7;11.7;18.8;11.6
22;Blue Label Canned Tomatos;Blue Label;62;15;14;f;f;31;13;19;8.73;5.02
23;Blue Label Noodle Soup;Blue Label;58;10.6;9.6;t;f;17;9;19.8;3.16;15.7
24;Blue Label Regular Ramen Soup;Blue Label;58;12.8;10.8;f;t;23;8;20.7;21.3;6.98
25;Blue Label Chicken Noodle Soup;Blue Label;58;9.48;8.47;t;t;21;10;4.98;4.71;22.4
26;Blue Label Turkey Noodle Soup;Blue Label;58;16.5;13.5;t;t;21;11;12.8;11;12
27;Blue Label Beef Soup;Blue Label;58;11.2;8.19;f;t;14;12;9.91;7.62;3.1
28;Blue Label Canned Peas;Blue Label;62;21.9;20.8;t;f;33;9;8.1;22;21.5
29;Blue Label Chicken Ramen Soup;Blue Label;58;17.1;16.1;f;f;34;5;6.61;19.7;22.3
30;Blue Label Canned Tuna in Water;Blue Label;93;9.71;7.71;t;f;31;5;19.5;16.1;6.61
31;Blue Label Canned Tuna in Oil;Blue Label;93;17.2;15.2;t;f;28;12;19.7;13.6;3.63
32;Blue Label Large Canned Shrimp;Blue Label;94;8.86;6.85;f;f;2;11;8.73;3.34;13.1
33;Blue Label Fancy Canned Anchovies;Blue Label;95;8.27;6.27;f;t;16;5;5.9;9.12;17.7
34;Blue Label Fancy Canned Clams;Blue Label;96;16.7;14.7;t;t;30;9;20.6;14.4;11.9
35;Blue Label Fancy Canned Oysters;Blue Label;97;18.2;16.2;f;t;23;5;8.28;7.87;6.27
36;Blue Label Fancy Canned Sardines;Blue Label;98;14;11;t;f;26;5;17.4;16.7;19.4
37;Blue Label Rice Soup;Blue Label;58;21;19;t;t;9;6;15.4;17.5;6.65
38;Green Ribbon Canned Mixed Fruit;Green Ribbon;3;14;11;t;t;32;8;11.1;17.2;5.74
39;Green Ribbon Canned Peaches;Green Ribbon;3;17.5;15.5;t;f;5;7;10.8;17.7;9.04
40;King Rosy Sunglasses;King;89;11.7;10.6;t;f;25;13;15.7;12.1;7.7
41;Queen Eyeglass Screwdriver;Queen;103;8.61;5.6;t;f;29;12;18.3;6.34;8.7
42;Queen City Map;Queen;102;13.6;11.6;t;f;6;10;3.46;5.58;17.1
43;Club Low Fat Cottage Cheese;Club;15;17.7;15.7;t;f;33;11;15.4;3.71;10.7
44;Club Low Fat Sour Cream;Club;14;10.7;9.69;f;t;26;5;21.1;17.9;7.32
45;Club Sour Cream;Club;14;13.6;11.6;f;f;9;11;8.57;7.31;3.27
46;Club Jack Cheese;Club;11;14.4;12.3;t;f;19;7;12.7;20.9;7.42
47;Club Muenster Cheese;Club;11;17.8;15.7;t;f;21;13;22.3;7.03;13.2
